map_order,relative_time_min,point_index,row,column,window,far_baseline_150_200nm_pN,positive_fit_bins,log_force_slope_per_nm,log_force_intercept,log_linear_r2,apparent_local_decay_length_nm,fit_status
5,78.6563,25,3,6,20_60nm,-95.0807186193345,9,-0.058946218635423986,7.66140964993118,0.9845563403457666,16.96461661408499,negative_log_slope
5,78.6563,26,3,5,20_60nm,44.43056122662211,6,-0.07167509706907015,6.704409622720176,0.9906122904612105,13.951847167173613,negative_log_slope
5,78.6563,27,3,4,20_60nm,-44.137101267061745,4,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,28,3,3,20_60nm,16.226701809284958,3,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,29,3,2,20_60nm,-8.895419550985613,1,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,30,3,1,20_60nm,35.97530309074649,4,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,31,3,0,20_60nm,-82.41075318299973,2,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,32,4,0,20_60nm,-43.85978134311268,3,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,33,4,1,20_60nm,-48.35273665177843,4,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,34,4,2,20_60nm,-46.30410442245528,2,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,35,4,3,20_60nm,20.253763327250766,2,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,36,4,4,20_60nm,-8.334908106261414,5,-0.05762544522431621,5.700635103295633,0.9826771877727798,17.353445098902768,negative_log_slope
5,78.6563,37,4,5,20_60nm,-89.45609979064044,7,-0.06036292468422239,6.545227074604726,0.9857141385823336,16.566460376652014,negative_log_slope
5,78.6563,38,4,6,20_60nm,-15.953876551106852,9,-0.05611471368429781,6.848040891563488,0.9841903226797789,17.820638017080768,negative_log_slope
5,78.6563,39,4,7,20_60nm,-30.297881263442754,9,-0.05885810981154238,7.459462724189978,0.9885295403535742,16.990012135997866,negative_log_slope
5,78.6563,40,5,7,20_60nm,-25.83768028717506,9,-0.06675788297368579,7.581215411639776,0.9830108595814802,14.979504373950471,negative_log_slope
5,78.6563,41,5,6,20_60nm,-5.705010022753158,6,-0.08378604062148377,7.067236154777537,0.9802039019551644,11.935162380063437,negative_log_slope
5,78.6563,42,5,5,20_60nm,-9.950922264305849,9,-0.059717305824029406,6.843893897339699,0.9648063751152962,16.745564559572177,negative_log_slope
5,78.6563,43,5,4,20_60nm,10.414839540902388,7,-0.044319034312734866,5.540573667183407,0.9337488476640798,22.56366853446206,negative_log_slope
