acquisition_order,source,speed_um_per_s,distance_nm,available_pixels,map_median_force_pN,map_force_q25_pN,map_force_q75_pN,map_force_spatial_mad_pN
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,230.0,64,35.595070705190295,12.82946899097475,54.6450602496789,31.882509141534577
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,235.0,64,29.972003431140532,1.9601732756483665,58.013986657598174,41.663090962443064
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,240.0,64,24.66665343286398,-0.6877965190101978,48.27760974569453,36.72584758024671
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,245.0,64,24.819357199396165,8.270548323876724,52.35033699490583,36.32062920393172
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,250.0,64,31.74304902458809,11.028767355204781,54.74515353442479,33.787111655997435
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,255.0,64,22.586190941970344,-0.08111507442128495,51.465717133548935,40.72396783813869
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,260.0,64,20.40716767131157,0.9822611381345541,37.75003778956229,27.99330191513806
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,265.0,64,16.74873864688006,-5.047474971036384,37.247243615022626,31.357569945302757
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,270.0,64,16.120345334434173,-5.578840008696819,40.40018622643633,35.53470648049208
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,275.0,64,8.084286840178768,-9.887341078188676,35.14009068603897,35.91801452209979
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,280.0,64,-7.143709837511255,-27.666594060558374,24.93011174851819,34.17145135013591
