branch,approach_speed_um_per_s,scanner_travel_bin_center_nm,contributing_curves,delta_V_q25,delta_V_median,delta_V_q75,delta_nN_prior_D3_scale_q25,delta_nN_prior_D3_scale_median,delta_nN_prior_D3_scale_q75
retract_far_to_contact,0.1,242.5,512,-0.10937267212716001,-0.043290266801444766,-0.02621613800975839,-2.3871215858986807,-0.9448350152851401,-0.5721823168883944
retract_far_to_contact,0.1,247.5,512,-0.1294159463406253,-0.046922579127616215,-0.027261988514229785,-2.824577593843906,-1.0241123246156538,-0.5950086067311086
retract_far_to_contact,0.1,252.5,512,-0.158605815036631,-0.05148925641503688,-0.029491876670931394,-3.461663296319672,-1.1237826875739714,-0.6436772005349934
retract_far_to_contact,0.1,257.5,512,-0.20385371583227602,-0.05826633570187906,-0.03206580497290801,-4.449224801448741,-1.2716963477262908,-0.6998546687334515
retract_far_to_contact,0.1,262.5,512,-0.26230934613006573,-0.061928378896770636,-0.033262992148549386,-5.725052612795734,-1.351622550396512,-0.7259839686193682
retract_far_to_contact,0.1,267.5,512,-0.35569612185802896,-0.06680506873073572,-0.03579479928641566,-7.763272799265348,-1.4580591158015908,-0.7812421181423707
retract_far_to_contact,0.1,272.5,512,-0.47252108840204576,-0.07475014106811834,-0.037506158343608736,-10.313045004564351,-1.6314648972388612,-0.8185935155910791
retract_far_to_contact,0.1,277.5,512,-0.6253510860011272,-0.08400999332119433,-0.04080624236045055,-13.648647757484712,-1.833566507866523,-0.8906197506520955
retract_far_to_contact,0.1,282.5,512,-0.8532164003077278,-0.09608779824447683,-0.04271287597711719,-18.621939530282127,-2.0971715591276006,-0.9322331278717126
retract_far_to_contact,0.1,287.5,512,-1.1151109903206657,-0.11610811832504869,-0.045946838325003105,-24.33793985185352,-2.534126579897055,-1.0028162194107646
retract_far_to_contact,0.1,292.5,512,-1.4292080981018929,-0.13636537873144378,-0.046321862204285774,-31.19329020098996,-2.9762529597943623,-1.0110013316518032
retract_far_to_contact,0.1,297.5,512,-1.6970601174837907,-0.16693628458853102,-0.05067108115158067,-37.03931485100217,-3.6434805940162334,-1.105925541044956
retract_far_to_contact,0.1,302.5,512,-1.7462207826230514,-0.20153911117747297,-0.05641763007080766,-38.11227469232915,-4.3987072212630975,-1.231347282168377
retract_far_to_contact,0.1,307.5,512,-1.7375764550207742,-0.24901974236805277,-0.06031410368936452,-37.92360726184903,-5.434999353683089,-1.3163900639057362
retract_far_to_contact,0.1,312.5,512,-1.6727620008157529,-0.3098645930269044,-0.0675055963283031,-36.508994454993896,-6.762973275995796,-1.4733485342380959
retract_far_to_contact,0.1,317.5,512,-1.5956763200058846,-0.39498835994991693,-0.07286450233108208,-34.82655505723471,-8.62084853443955,-1.5903097453636954
retract_far_to_contact,0.1,322.5,512,-1.5091742719473178,-0.48208086909615394,-0.08106815925026588,-32.93859801888991,-10.52169272622586,-1.769359284286204
retract_far_to_contact,0.1,327.5,512,-1.420806149178536,-0.6042513897977855,-0.09058980959422167,-31.009912824827428,-13.188134730936886,-1.9771747890862572
retract_far_to_contact,0.1,332.5,512,-1.32885076161284,-0.7404954505659742,-0.09705824461359047,-29.00293350971529,-16.161739856284022,-2.1183521102708958
retract_far_to_contact,0.1,337.5,512,-1.2349080675863793,-0.8429442113489952,-0.1093674632111024,-26.95258008608021,-18.397743087780366,-2.3870078983045278
