acquisition_order,block,nominal_speed_um_per_s,point_index,row,column,distance_nm,force_linear_drift_corrected_pN,force_far_constant_referenced_pN
1,1,2.0,55,6,7,200.0,-10.640046870146596,64.02668912269458
1,1,2.0,56,7,7,20.0,nan,nan
1,1,2.0,56,7,7,50.0,-43.060911727032895,156.26722618888357
1,1,2.0,56,7,7,100.0,-146.4570297010558,38.75774024744187
1,1,2.0,56,7,7,200.0,-109.88818765057978,48.57614910491975
1,1,2.0,57,7,6,20.0,421.1050785037687,546.475488309481
1,1,2.0,57,7,6,50.0,107.95706609691305,228.62830705892213
1,1,2.0,57,7,6,100.0,29.988341529146318,142.59709513452378
1,1,2.0,57,7,6,200.0,55.253043792930804,152.03237090834787
1,1,2.0,58,7,5,20.0,nan,nan
1,1,2.0,58,7,5,50.0,257.3528302195851,204.05671776609427
1,1,2.0,58,7,5,100.0,140.3258286581194,90.62126350122867
1,1,2.0,58,7,5,200.0,131.65423597078725,89.13974074711278
1,1,2.0,59,7,4,20.0,-390.9665774154779,-402.02670798846344
1,1,2.0,59,7,4,50.0,175.2114190524148,164.60666900715464
1,1,2.0,59,7,4,100.0,58.746540910624766,48.972065763133884
1,1,2.0,59,7,4,200.0,64.32647746032454,56.12388332455962
1,1,2.0,60,7,3,20.0,nan,nan
1,1,2.0,60,7,3,50.0,80.71707540699498,163.67190909115777
1,1,2.0,60,7,3,100.0,7.238178414774351,84.61366940202264
1,1,2.0,60,7,3,200.0,-28.692237380862554,38.03493823367842
1,1,2.0,61,7,2,20.0,-261.6793309290853,-251.71587924161108
1,1,2.0,61,7,2,50.0,156.52731696129578,166.16994427961208
1,1,2.0,61,7,2,100.0,33.39074590340852,42.4690925596842
1,1,2.0,61,7,2,200.0,51.90110289640244,59.786658053439695
1,1,2.0,62,7,1,20.0,-389.75431786223004,-406.6037265551194
1,1,2.0,62,7,1,50.0,216.94463211318939,200.70299374727603
1,1,2.0,62,7,1,100.0,117.86698485951585,102.82533680876396
1,1,2.0,62,7,1,200.0,142.64633954431488,129.8796210005543
1,1,2.0,63,7,0,20.0,-718.8443681954132,-875.5868071628418
1,1,2.0,63,7,0,50.0,337.56439275318536,186.20018429676395
1,1,2.0,63,7,0,100.0,203.27693049305836,62.60908424142283
1,1,2.0,63,7,0,200.0,159.99199060408458,39.68757381031614
2,1,1.0,0,0,0,20.0,-915.7971078754238,-892.200714825235
2,1,1.0,0,0,0,50.0,94.20511968378862,116.9079719888226
2,1,1.0,0,0,0,100.0,-24.704932706508213,-3.7482687812325204
2,1,1.0,0,0,0,200.0,-66.9201986318543,-49.56335285609673
2,1,1.0,1,0,1,20.0,nan,nan
2,1,1.0,1,0,1,50.0,-142.19529235525582,187.93444767392876
2,1,1.0,1,0,1,100.0,-252.3145174690526,54.675722582116144
2,1,1.0,1,0,1,200.0,-179.1101181304466,82.62261207328174
2,1,1.0,2,0,2,20.0,-818.4908348638572,-518.8528651000508
2,1,1.0,2,0,2,50.0,-133.7184942322009,155.76018597027286
2,1,1.0,2,0,2,100.0,-246.48512817708476,24.238280970544107
2,1,1.0,2,0,2,200.0,-190.05843269912967,41.208507389442744
2,1,1.0,3,0,3,20.0,-1439.6954914141345,-1366.126112437772
2,1,1.0,3,0,3,50.0,148.07381495008818,219.24023697264545
2,1,1.0,3,0,3,100.0,31.432876060079565,97.68110168466279
2,1,1.0,3,0,3,200.0,26.21543945472718,82.90110692216814
2,1,1.0,4,0,4,20.0,607.5548376041904,214.1228161756952
2,1,1.0,4,0,4,50.0,390.0912726403241,12.077609457648121
2,1,1.0,4,0,4,100.0,391.6072004895852,40.44093168523887
2,1,1.0,4,0,4,200.0,328.5857387502373,30.09122499692342
2,1,1.0,5,0,5,20.0,-2035.7120093768908,-2072.631126469942
2,1,1.0,5,0,5,50.0,269.1560334687655,233.3728216318811
2,1,1.0,5,0,5,100.0,110.9189223562875,77.54235718093193
2,1,1.0,5,0,5,200.0,151.84256958361206,123.19649293403577
2,1,1.0,6,0,6,20.0,462.6204712204004,326.3872326512014
2,1,1.0,6,0,6,50.0,203.75191393265177,72.84766736933922
2,1,1.0,6,0,6,100.0,161.06560055749722,39.175357802976286
2,1,1.0,6,0,6,200.0,102.94549411305054,-1.4725430724698856
2,1,1.0,7,0,7,20.0,nan,nan
2,1,1.0,7,0,7,50.0,230.2705534421486,129.52323988514792
2,1,1.0,7,0,7,100.0,128.9975872530345,35.029925185521876
2,1,1.0,7,0,7,200.0,169.4307985344407,88.9392568825434
2,1,1.0,8,1,7,20.0,-668.4512619270156,-666.3960811323063
2,1,1.0,8,1,7,50.0,142.9802119191559,144.95195428780792
2,1,1.0,8,1,7,100.0,61.9161330635404,63.740586487965764
