before_map,after_map,distance_nm,baseline,before_speed_um_per_s,after_speed_um_per_s,idle_s,paired_pixels,median_paired_change_pN,q25_change_pN,q75_change_pN,positive_pixel_fraction,fixed_pixel_change_pN
4,5,100.0,constant,4.0,1.0,17.578,64,-4.10203082282132,-36.47747792868297,38.60952873107919,0.484375,-49.70260028054304
4,5,200.0,constant,4.0,1.0,17.578,64,-1.642907588175861,-33.72174458460847,27.182041988851704,0.484375,-10.1070682071133
5,6,20.0,line,1.0,2.0,42.388,11,-304.82932362966403,-2066.3588504593536,400.34690415392356,0.2727272727272727,nan
5,6,50.0,line,1.0,2.0,42.388,63,17.144739824635444,-198.6445167604686,242.61110993657826,0.5079365079365079,422.99572975396416
5,6,100.0,line,1.0,2.0,42.388,64,-12.11915042897515,-200.29943525604193,168.2065500446843,0.484375,343.5027031450448
5,6,200.0,line,1.0,2.0,42.388,64,48.65662539894305,-171.31546265269185,190.49931661387257,0.515625,341.3967185275129
5,6,20.0,constant,1.0,2.0,42.388,11,-698.4184365547476,-2000.8697199649553,265.7552061654046,0.2727272727272727,nan
5,6,50.0,constant,1.0,2.0,42.388,63,57.80582758434886,0.7190293002908419,135.2862311977961,0.7619047619047619,51.309027912022145
5,6,100.0,constant,1.0,2.0,42.388,64,30.8409972350791,-6.671077209031353,114.38402667728327,0.703125,-2.569623206033171
5,6,200.0,constant,1.0,2.0,42.388,64,48.44266987875349,0.5679960436841966,92.25930709518852,0.75,46.62980310771205
6,7,20.0,line,2.0,1.0,20.739,35,-518.5258980774861,-1147.8175990259938,1028.9308750391046,0.42857142857142855,-1085.3983734918938
6,7,50.0,line,2.0,1.0,20.739,64,-45.5138578425032,-457.6899584494434,272.3370870476291,0.46875,-520.416580796437
6,7,100.0,line,2.0,1.0,20.739,64,-27.81232182530068,-427.399510843855,243.41282362874202,0.46875,-425.95225090122693
6,7,200.0,line,2.0,1.0,20.739,64,-62.30418159631786,-366.8846112850153,170.9194564104513,0.453125,-401.825083864203
6,7,20.0,constant,2.0,1.0,20.739,35,-551.3426004804887,-1022.9168492943068,873.3282613311203,0.42857142857142855,-522.4542163120923
6,7,50.0,constant,2.0,1.0,20.739,64,-59.8299351302683,-177.49051668721268,34.47362143564776,0.390625,28.760673140521874
6,7,100.0,constant,2.0,1.0,20.739,64,-47.99761440707796,-167.8527927434523,23.439479047003182,0.34375,86.11814023147154
6,7,200.0,constant,2.0,1.0,20.739,64,-22.606067933774618,-154.76855473717515,21.152700223158984,0.390625,34.78342045251179
7,8,20.0,line,1.0,4.0,131.626,44,-301.8935438333897,-981.7079212901623,494.3814002369662,0.36363636363636365,-509.71404599821744
7,8,50.0,line,1.0,4.0,131.626,64,49.2327768129434,-199.43455771009107,310.04467164687344,0.5625,28.82079047865406
7,8,100.0,line,1.0,4.0,131.626,64,46.401380384663824,-188.93239191129226,289.747784680154,0.53125,33.58244926803218
7,8,200.0,line,1.0,4.0,131.626,64,32.61059660138507,-193.81754418495615,252.33102986905854,0.53125,-51.242491143311966
7,8,20.0,constant,1.0,4.0,131.626,44,-421.21398039090946,-739.5556677211141,243.05259106419078,0.29545454545454547,-607.5456796084777
7,8,50.0,constant,1.0,4.0,131.626,64,49.845651597903725,-7.903429387138836,87.68961569930894,0.703125,-66.61670368914176
7,8,100.0,constant,1.0,4.0,131.626,64,37.308207609196074,-22.30250480694697,61.03735933796616,0.640625,-56.27211043065192
7,8,200.0,constant,1.0,4.0,131.626,64,14.550139855866547,-33.854584632040016,58.12134803030533,0.546875,-128.49007762442878
8,9,20.0,line,4.0,2.0,140.554,50,145.90858668029682,-442.5456888451796,888.9381011886308,0.54,1087.7843581875868
8,9,50.0,line,4.0,2.0,140.554,64,39.69046285191631,-150.81487989201548,162.70678087691374,0.5625,34.57871044619432
8,9,100.0,line,4.0,2.0,140.554,64,44.548248170073705,-128.15273586803528,169.12094322885574,0.609375,54.36307127320897
8,9,200.0,line,4.0,2.0,140.554,64,30.70272922248702,-104.60338950363932,128.56040193069967,0.5625,30.3601345126715
8,9,20.0,constant,4.0,2.0,140.554,50,79.54735172389724,-563.823656433575,945.6414037965251,0.52,1073.0026138379485
8,9,50.0,constant,4.0,2.0,140.554,64,-9.96660478411593,-45.30930662398215,25.60157124963216,0.421875,19.810611970178712
8,9,100.0,constant,4.0,2.0,140.554,64,-1.5363050480614842,-37.52222335514293,56.7994796507694,0.484375,40.97497330769107
8,9,200.0,constant,4.0,2.0,140.554,64,1.0549255169404574,-32.701116462847494,29.30643823622662,0.515625,19.110695672837345
9,10,20.0,line,2.0,2.0,127.422,46,-687.309213115637,-1656.1313482863443,-125.75400952496318,0.2391304347826087,-1029.9803054509493
9,10,50.0,line,2.0,2.0,127.422,64,-58.03182489412154,-150.87078371661102,71.36697808850207,0.421875,-159.5976820310399
