source,map_order,point_index,row,column,distance_nm,force_linear_drift_corrected_pN,force_far_constant_referenced_pN
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,3,0,3,200.0,12.630484240891375,17.876125717573142
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,4,0,4,200.0,-99.43376410568544,3.9537679595038946
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,5,0,5,200.0,-92.10490852397659,1.6989488803205592
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,6,0,6,200.0,33.214002402578636,-8.460981835542597
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,7,0,7,200.0,-32.62990461476134,-15.89749743712279
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,8,1,7,200.0,-8.484619719269512,-6.786216649651733
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,9,1,6,200.0,-10.840270816911945,-2.0805072670091485
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,10,1,5,200.0,-40.19557398174081,-0.3208921996833993
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,11,1,4,200.0,38.47806466242641,1.7861047864076525
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,12,1,3,200.0,59.94464427643528,-6.623848862599614
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,13,1,2,200.0,-24.985818773170834,3.0165167604652816
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,14,1,1,200.0,66.41860516071148,19.251817244721394
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,15,1,0,200.0,32.73103062817058,8.51425691789285
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,16,2,0,200.0,11.671093998359742,14.998975626474595
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,17,2,1,200.0,38.58998399067601,-20.154005043278268
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,18,2,2,200.0,36.450121775829295,-15.834525225465983
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,19,2,3,200.0,-106.93227524591941,-20.038999454853098
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,20,2,4,200.0,-12.533835384393035,7.016286955339362
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,21,2,5,200.0,3.8834799868709347,-2.6435320551768218
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,22,2,6,200.0,27.984368221408094,-0.1840680703174428
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,23,2,7,200.0,-105.84524781331598,-25.873360082669095
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,24,3,7,200.0,-58.372848103554034,18.74561526913866
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,25,3,6,200.0,-37.17054309322963,27.6232188918507
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,26,3,5,200.0,32.6080408949194,4.139018606566234
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,27,3,4,200.0,-136.98030403529174,-15.890283718980013
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,28,3,3,200.0,-85.0608025996646,-14.640536615145674
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,29,3,2,200.0,-36.12738552632395,1.5039419751140786
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,30,3,1,200.0,-14.424032261130517,-4.254083323828692
