block,speed_low_um_per_s,speed_high_um_per_s,delta_speed_um_per_s,distance_nm,reference_distance_nm,speed_contrast_pN,reference_speed_contrast_pN,distance_double_difference_pN,double_difference_per_delta_speed_pN_per_um_s,classical_pair_coefficient_pN_nm_per_um_s
1,0.9,2.7,1.8000000000000003,70.0,200.0,652.8992350996108,42.307094599252565,610.5921405003583,339.2178558335323,36531.153705149634
1,0.9,2.7,1.8000000000000003,75.0,200.0,606.9850876699176,42.307094599252565,564.677993070665,313.7099961503694,37645.199538044326
1,0.9,2.7,1.8000000000000003,80.0,200.0,568.854690428033,42.307094599252565,526.5475958287805,292.5264421271002,39003.52561694669
1,0.9,2.7,1.8000000000000003,85.0,200.0,513.750276307151,42.307094599252565,471.4431817078985,261.91287872661024,38717.55598567282
1,0.9,2.7,1.8000000000000003,90.0,200.0,493.93077045104997,42.307094599252565,451.62367585179743,250.9020421398874,41056.69780470885
1,0.9,2.7,1.8000000000000003,95.0,200.0,449.0200907148957,42.307094599252565,406.71299611564314,225.95166450869058,40886.491673001154
1,0.9,2.7,1.8000000000000003,100.0,200.0,417.11050395989884,42.307094599252565,374.80340936064624,208.2241163114701,41644.82326229402
1,0.9,2.7,1.8000000000000003,105.0,200.0,381.41378261354924,42.307094599252565,339.10668801429665,188.392604452387,41644.68098421185
1,0.9,2.7,1.8000000000000003,110.0,200.0,369.8259822929302,42.307094599252565,327.5188876936776,181.95493760759862,44477.873637413
1,0.9,2.7,1.8000000000000003,115.0,200.0,351.6683331213748,42.307094599252565,309.3612385221222,171.86735473451233,46505.284222279806
1,0.9,2.7,1.8000000000000003,120.0,200.0,324.79391987851795,42.307094599252565,282.4868252792654,156.93712515514744,47081.13754654423
1,0.9,2.7,1.8000000000000003,125.0,200.0,302.9415420240227,42.307094599252565,260.6344474247701,144.79691523598336,48265.638411994456
1,0.9,2.7,1.8000000000000003,130.0,200.0,280.6032441173937,42.307094599252565,238.2961495181411,132.3867497323006,49172.221329140215
1,0.9,2.7,1.8000000000000003,135.0,200.0,262.21161042867084,42.307094599252565,219.90451582941827,122.16917546078791,50747.19596063498
1,0.9,2.7,1.8000000000000003,140.0,200.0,232.1992151365337,42.307094599252565,189.89212053728113,105.49562252071172,49231.29050966548
1,0.9,2.7,1.8000000000000003,145.0,200.0,199.31915510603568,42.307094599252565,157.01206050678311,87.22892250376839,45993.43186562334
1,0.9,2.7,1.8000000000000003,150.0,200.0,190.3213461889515,42.307094599252565,148.01425158969894,82.23013977205495,49338.08386323296
1,0.9,2.7,1.8000000000000003,155.0,200.0,176.02216350272738,42.307094599252565,133.71506890347482,74.28614939081933,51174.90291367554
1,0.9,2.7,1.8000000000000003,160.0,200.0,167.27607474153066,42.307094599252565,124.9689801422781,69.4272111901545,55541.76895212359
1,0.9,2.7,1.8000000000000003,165.0,200.0,142.85470494363707,42.307094599252565,100.54761034438451,55.859783524658056,52667.7958946776
1,0.9,2.7,1.8000000000000003,170.0,200.0,120.2342190253488,42.307094599252565,77.92712442609624,43.292846903386796,49065.22649050505
