block,speed_um_per_s,distance_nm,early_map_order,late_map_order,early_force_pN,late_force_pN,pair_mean_force_pN,pair_half_difference_pN
2,0.1,95.0,12,13,61.75441712419577,70.95647167801837,66.35544440110706,4.601027276911303
2,0.1,100.0,12,13,57.11646061916389,58.689672245359425,57.90306643226165,0.7866058130977684
2,0.1,105.0,12,13,51.570764137097555,47.78738211199364,49.679073124545596,1.8916910125519593
2,0.1,110.0,12,13,44.227315055871486,44.51492896354301,44.37112200970725,0.14380695383576025
2,0.1,115.0,12,13,34.705455705979176,41.5648485924807,38.13515214922994,3.429696443250762
2,0.1,120.0,12,13,30.741950500908803,36.68889820589666,33.71542435340273,2.97347385249393
2,0.1,125.0,12,13,25.378133366677588,35.236696486477854,30.30741492657772,4.929281559900133
2,0.1,130.0,12,13,24.074510076062424,28.405186906810144,26.239848491436284,2.16533841537386
2,0.1,135.0,12,13,25.66414021507343,34.47345930337965,30.06879975922654,4.404659544153109
2,0.1,140.0,12,13,24.515175670313887,20.649817054477175,22.58249636239553,1.932679307918356
2,0.1,145.0,12,13,20.479601312114866,23.80850034670903,22.14405082941195,1.6644495172970828
2,0.1,150.0,12,13,24.10989851539236,19.92592797222717,22.017913243809765,2.091985271582594
2,0.1,155.0,12,13,26.17182183792756,12.896617560549306,19.534219699238434,6.637602138689127
2,0.1,160.0,12,13,13.92654374547946,13.934015742733724,13.930279744106592,0.00373599862713192
2,0.1,165.0,12,13,11.397164984870006,17.514046782654482,14.455605883762244,3.058440898892238
2,0.1,170.0,12,13,12.221602961455073,12.382457997721078,12.302030479588076,0.08042751813300253
2,0.1,175.0,12,13,7.307629883739436,18.47359371183564,12.890611797787539,5.582981914048102
2,0.1,180.0,12,13,12.401030301322692,14.9224566036531,13.661743452487896,1.2607131511652039
2,0.1,185.0,12,13,13.666962253232754,7.616268102977415,10.641615178105084,3.0253470751276694
2,0.1,190.0,12,13,15.158362964905455,11.01688837065545,13.087625667780452,2.070737297125003
2,0.1,195.0,12,13,11.692863891787333,5.1913813306003584,8.442122611193845,3.250741280593487
2,0.1,200.0,12,13,4.1922709214923195,5.468193149112482,4.830232035302401,0.6379611138100811
2,0.1,205.0,12,13,9.340692409776956,2.2946155652355396,5.817653987506247,3.5230384222707083
2,0.1,210.0,12,13,6.593068372341237,8.16225406653216,7.377661219436698,0.7845928470954617
2,0.1,215.0,12,13,2.372698764937745,2.8182352398849835,2.595467002411364,0.2227682374736193
2,0.1,220.0,12,13,6.067924476520094,3.3609739496438698,4.714449213081982,1.3534752634381122
2,0.1,225.0,12,13,-2.616590719707693,5.298789220200128,1.3410992502462173,3.9576899699539103
2,0.1,230.0,12,13,-0.234332437217872,10.487817948558563,5.126742755670345,5.361075192888218
2,0.1,235.0,12,13,4.361939932348786,4.810806499199171,4.586373215773978,0.22443328342519253
2,0.1,240.0,12,13,1.875388473083662,0.5836110317748135,1.2294997524292377,0.6458887206544243
2,0.1,245.0,12,13,-4.177890226108579,2.25549941108563,-0.9611954075114744,3.2166948185971043
2,0.1,250.0,12,13,-5.274136599540584,2.0018822625470483,-1.6361271684967678,3.638009431043816
2,0.1,255.0,12,13,2.7754742090263536,4.687245178727394,3.7313596938768736,0.95588548485052
2,0.1,260.0,12,13,-0.9015271190044576,1.451688123153502,0.27508050207452217,1.1766076210789798
2,0.1,265.0,12,13,6.004735568462311,3.918126490027032,4.961431029244672,1.0433045392176397
2,0.1,270.0,12,13,1.6174803106003157,-0.4119870415932537,0.602746634503531,1.0147336760967847
2,0.1,275.0,12,13,-0.7986587576726374,-2.117491124742429,-1.4580749412075331,0.6594161835348958
2,0.1,280.0,12,13,-5.407721330966303,-4.013224636918618,-4.710472983942461,0.6972483470238422
2,0.1,285.0,12,13,3.187063627705424,-5.658074658086774,-1.2355055151906749,4.422569142896099
2,0.1,290.0,12,13,3.284978270237491,-2.166580986982172,0.5591986416276593,2.7257796286098315
2,0.1,295.0,12,13,0.33400324761926337,-1.6726173546521634,-0.66930705351645,1.0033103011357134
2,0.1,300.0,12,13,-2.9407196649659997,-0.42326959177279727,-1.6819946283693985,1.2587250365966012
2,0.3,20.0,9,16,1088.3541384595935,971.0736198305852,1029.7138791450893,58.640259314504135
2,0.3,25.0,9,16,889.9273817131659,821.0683709056046,855.4978763093852,34.42950540378064
2,0.3,30.0,9,16,798.4501547514514,672.5516233585536,735.5008890550025,62.94926569644889
2,0.3,35.0,9,16,674.1570590083892,602.2971549349014,638.2271069716453,35.929952036743884
2,0.3,40.0,9,16,559.7373875415319,518.6264255051904,539.1819065233611,20.55548101817078
